Iteration,Value
1,0.0
2,0.0
3,-1.0
4,-1.0
5,-1.0
6,-1.0
7,-1.0
8,-2.0
9,-2.0
10,-2.0
11,-2.0
12,-2.0
13,-2.0
14,-2.0
15,-2.0
16,-3.0
17,-3.0
18,-3.0
19,-3.0
20,-3.0
21,-3.0
22,-3.0
23,-3.0
24,-4.0
25,-4.0
26,-4.0
27,-4.0
28,-4.0
29,-4.0
30,-4.0
31,-4.0
32,-4.0
33,-4.0
34,-4.0
35,-4.4
36,-4.4
37,-5.0
38,-5.0
39,-5.0
40,-5.0
41,-5.0
42,-5.0
43,-5.0
44,-5.0
45,-5.0
46,-5.0
47,-5.0
48,-5.0
49,-5.0
50,-5.0
51,-5.2
52,-5.2
53,-5.2
54,-5.2
55,-5.2
56,-5.2
57,-5.2
58,-5.2
59,-5.2
60,-5.36
61,-5.36
62,-5.36
63,-5.36
64,-5.36
65,-5.36
66,-5.36
67,-5.36
68,-5.36
69,-5.36
70,-5.36
71,-5.36
72,-5.36
73,-5.36
74,-5.36
75,-5.36
76,-5.36
77,-5.36
78,-5.36
79,-5.68
80,-5.68
81,-5.68
82,-5.68
83,-5.68
84,-5.68
85,-5.68
86,-5.68
87,-5.68
88,-5.68
89,-5.68
90,-5.68
91,-5.68
92,-5.68
93,-5.68
94,-5.68
95,-5.68
96,-5.68
97,-5.68
98,-5.68
99,-5.68
100,-5.68
101,-5.68
102,-5.68
103,-5.68
104,-5.68
105,-5.68
106,-5.68
107,-5.68
108,-5.68
109,-5.68
110,-5.68
111,-5.68
112,-5.68
113,-5.68
114,-5.68
115,-5.68
116,-5.68
117,-5.68
118,-5.68
119,-5.68
120,-5.68
121,-5.68
122,-5.68
123,-5.68
124,-5.68
125,-5.68
126,-5.68
127,-5.68
128,-5.68
129,-5.68
130,-5.68
131,-5.68
132,-5.68
133,-5.68
134,-5.68
135,-5.744
136,-5.744
137,-5.744
138,-5.744
139,-5.744
140,-5.744
141,-5.744
142,-5.744
143,-5.744
144,-5.744
145,-5.744
146,-5.744
147,-5.744
148,-5.744
149,-5.744
150,-5.744
151,-5.744
152,-5.744
153,-5.744
154,-5.744
155,-5.744
156,-5.744
157,-5.744
158,-5.744
159,-5.744
160,-5.744
161,-5.744
162,-5.872
163,-5.872
164,-5.872
165,-5.872
166,-5.872
167,-5.872
168,-5.872
169,-5.872
170,-5.872
171,-5.872
172,-5.872
173,-5.872
174,-5.872
175,-5.872
176,-5.872
177,-5.872
178,-5.872
179,-5.872
180,-5.872
181,-5.872
182,-5.872
183,-5.872
184,-5.872
185,-5.872
186,-5.872
187,-5.872
188,-5.872
189,-5.872
190,-5.872
191,-5.872
192,-5.872
193,-5.872
194,-5.872
195,-5.872
196,-5.872
197,-5.872
198,-5.872
199,-5.872
200,-5.872
201,-5.872
202,-5.872
203,-5.872
204,-5.872
205,-5.872
206,-5.872
207,-5.872
208,-5.872
209,-5.872
210,-5.872
211,-5.872
212,-5.8976
