x1,x2,x3,x4
-30.0,-7.0,-11.0,-30.0
-30.0,-9.0,-7.0,-30.0
-30.0,-7.0,-7.0,-17.0
-30.0,-7.0,-56.0,-115.0
-30.0,-11.0,-9.0,-30.0
-79.0,-13.0,-11.0,-74.0
-30.0,-13.0,-7.0,-30.0
-30.0,-9.0,-9.0,-30.0
-79.0,-9.0,-7.0,-30.0
-30.0,-7.0,-107.0,-30.0
-30.0,-7.0,-19.0,-30.0
-30.0,-9.0,-7.0,-30.0
-30.0,-11.0,-7.0,-30.0
-30.0,-7.0,-11.0,-30.0
-30.0,-11.0,-13.0,-30.0
-30.0,-9.0,-7.0,-115.0
-30.0,-7.0,-9.0,-30.0
-30.0,-7.0,-17.0,-30.0
-79.0,-11.0,-7.0,-30.0
-30.0,-107.0,-9.0,-30.0
-128.0,-56.0,-109.0,-30.0
-30.0,-17.0,-9.0,-30.0
-166.0,-7.0,-7.0,-7.0
-79.0,-7.0,-9.0,-30.0
-30.0,-7.0,-11.0,-30.0
-30.0,-58.0,-15.0,-62.0
-30.0,-56.0,-60.0,-30.0
-30.0,-56.0,-9.0,-30.0
-30.0,-60.0,-58.0,-13.0
-30.0,-7.0,-11.0,-68.0
-30.0,-7.0,-7.0,-30.0
-30.0,-7.0,-7.0,-30.0
-30.0,-209.0,-13.0,-30.0
-30.0,-7.0,-7.0,-30.0
-30.0,-9.0,-9.0,-30.0
-30.0,-56.0,-7.0,-30.0
-30.0,-11.0,-9.0,-79.0
-30.0,-7.0,-7.0,-25.0
-30.0,-11.0,-166.0,-30.0
-30.0,-7.0,-7.0,-30.0
-30.0,-13.0,-9.0,-17.0
-30.0,-11.0,-11.0,-30.0
-30.0,-7.0,-11.0,-9.0
-30.0,-58.0,-7.0,-30.0
-30.0,-11.0,-56.0,-30.0
-30.0,-7.0,-7.0,-30.0
-30.0,-9.0,-9.0,-27.0
-30.0,-7.0,-7.0,-30.0
-30.0,-17.0,-9.0,-30.0
-30.0,-56.0,-13.0,-127.0
