Iteration,Value
1,0.0
2,-6.071943124999999
3,-7.782406249999999
4,-7.122453125
5,-8.593527347533325
6,-8.226438913617699
7,-8.268150669588273
8,-8.042395535670618
9,-8.243773102642182
10,-8.060770510649993
11,-7.1996164085199945
12,-7.039911590433329
13,-6.570638506085711
14,-6.834921974074997
15,-6.79354175473333
16,-6.489687579259997
17,-6.241079617509088
18,-6.4447318368833315
19,-6.446098618661536
20,-6.253877288757141
21,-6.087285469506665
22,-6.3637382762513655
23,-6.369547789413049
24,-6.224295134445658
25,-6.353800982632729
26,-6.359235933501092
27,-6.235224698572469
28,-6.12248721227372
29,-6.233896735653124
30,-6.130609371667577
31,-6.035584996800874
32,-6.137481968077763
33,-6.049241895185994
34,-5.967304684643637
35,-5.89101831620765
36,-5.819817705667395
37,-5.753210682903931
38,-5.690766599063183
39,-5.632107005152178
40,-5.721895218235938
41,-5.665698212000625
42,-5.749565101945052
43,-5.695657937027618
44,-5.644587991316365
45,-5.596137017180047
46,-5.550108591750546
47,-5.626567071220045
48,-5.58200595047671
49,-5.654166422558648
50,-5.66751235613686
51,-5.685178748222707
52,-5.643218340652648
53,-5.60304348234089
54,-5.564542576458789
55,-5.527613136122895
56,-5.667076706826218
57,-5.726249835123743
58,-5.740408492140594
59,-5.795965053609639
60,-5.75816940446872
61,-5.7217481425692895
62,-5.686627640023409
63,-5.739229019145806
64,-5.70501817398812
65,-5.755524751547643
66,-5.767307672355182
67,-5.815137157234605
68,-5.825578493408241
69,-5.792712168116046
70,-5.837902700645483
71,-5.805858043712475
72,-5.849479986231983
73,-5.858629538676282
74,-5.900192431489866
75,-5.869102686105955
76,-5.838901219161584
77,-5.809550497764942
78,-5.8773432393324425
79,-5.885359085368984
80,-5.856570449080214
81,-5.828549509759145
82,-5.801265963578103
83,-5.838715837427738
84,-5.875205458101742
85,-5.848367414328302
86,-5.883824149774198
87,-5.890968296073282
88,-5.86491990221873
89,-5.839499180505252
90,-5.814683714070665
91,-5.848451038022775
92,-5.8241085840922775
93,-5.85699131588432
94,-5.8891267128629075
95,-5.895569109347594
96,-5.871785008132621
97,-5.902698428372922
98,-5.932939817738434
99,-5.938634013246623
100,-5.915403864169531
101,-5.944556520862483
102,-5.973101830540999
103,-5.978147172494185
104,-6.0057671630809795
105,-6.0103806260801615
106,-6.01490181981936
107,-6.041337507246891
108,-6.04546655129349
109,-6.071092179436272
110,-6.074855716172462
111,-6.052761852208915
112,-6.0775934031314724
113,-6.101960812915291
114,-6.10529913872163
115,-6.1085762108434505
116,-6.131997393017601
117,-6.134974893981406
118,-6.113725118142286
119,-6.13647893346846
120,-6.139338767385404
121,-6.118605386799444
122,-6.098229478292552
123,-6.120337826768684
124,-6.1002925909486105
125,-6.080584249848202
126,-6.061204381099467
127,-6.042144840759802
128,-6.063806819524066
129,-6.0450360323734635
130,-6.026567999854323
131,-6.008395455855489
132,-5.990511364936
133,-5.97290891324359
134,-5.994096392437
135,-6.014955383580899
136,-5.997571111399507
137,-6.018085120091114
138,-6.000940535848
139,-5.984053764901774
140,-6.004209380462209
141,-6.024066394310637
142,-6.043631393249529
143,-6.026926054612671
144,-6.028480123057507
145,-6.01212415094918
146,-5.996001835585258
147,-5.980108205545646
148,-5.964438429450254
149,-5.948987811062491
150,-5.933751784596779
151,-5.918725910220249
152,-5.9039058697392885
153,-5.906201663142423
154,-5.891666516769839
155,-5.894013637462659
156,-5.896329463212908
157,-5.898614615774411
158,-5.900869700539054
159,-5.903095307071478
160,-5.945937491254709
161,-5.931802410665969
162,-5.917848549059136
163,-5.948248417476753
164,-5.934367098378799
165,-5.92066038706824
166,-5.9071250096490635
167,-5.909201174185405
168,-5.911251707060804
169,-5.9132770800236205
170,-5.9001168539259154
171,-5.887116145720304
172,-5.874272072553314
173,-5.903112526553743
174,-5.890326142467114
175,-5.877691076535355
176,-5.865204658438088
177,-5.852864280318568
178,-5.855123136246948
179,-5.842983696153035
180,-5.845273373186639
181,-5.833328953911287
182,-5.821520266673154
183,-5.8490293492943515
184,-5.87622934109958
185,-5.864378897853213
186,-5.891191392257501
187,-5.879389229869338
188,-5.867716761573353
189,-5.894071467196587
190,-5.882446078787909
191,-5.908436250743786
192,-5.896858636492475
193,-5.885404846992515
194,-5.874072906317022
195,-5.899557324223414
196,-5.888270180411712
197,-5.890118962189661
198,-5.878998550928256
199,-5.9039292728955965
200,-5.892852317880671
201,-5.88188897266077
202,-5.923993949756063
203,-5.9256050845288755
204,-5.928316675011053
205,-5.917395485689389
206,-5.906583508260942
207,-5.895879112697455
208,-5.885280701248457
209,-5.8747867076462486
210,-5.8643955963342576
211,-5.887938192891774
212,-5.877584123994241
213,-5.867330094409728
214,-5.857174661263527
215,-5.847116409295759
216,-5.848993890680065
217,-5.850853576032292
218,-5.852695717183083
219,-5.854520561233867
220,-5.844709717489784
221,-5.834990137408436
222,-5.825360553438952
223,-5.847781140246261
224,-5.838181226758893
225,-5.828668983714332
226,-5.830544976970176
227,-5.821153370739541
228,-5.811846373574047
229,-5.813772566966092
230,-5.804581618006422
231,-5.795472366370838
232,-5.786443727581586
233,-5.777494636270654
234,-5.768624045760695
235,-5.759830927656936
236,-5.751114271449732
237,-5.772497447290318
238,-5.763801337603722
239,-5.755179872635465
240,-5.757257683008818
241,-5.748737437549206
242,-5.769677651333425
243,-5.77166798824763
244,-5.763194593339027
245,-5.754792105500789
246,-5.746459638394535
247,-5.738196320392898
248,-5.7300012942755725
249,-5.721873716932874
250,-5.713812759076592
251,-5.715966125366075
252,-5.707994718352391
253,-5.700087857144487
254,-5.692244760946323
255,-5.694450153472643
256,-5.714434864421253
257,-5.716534277312005
258,-5.708750411132195
259,-5.728441626466159
260,-5.7206721712438515
261,-5.712963652925248
262,-5.715027808577884
263,-5.707401241229332
264,-5.709470955410613
265,-5.7115246872430045
266,-5.70399959229207
267,-5.723105447841238
268,-5.715593594986882
269,-5.7081388664888335
270,-5.700740613206679
271,-5.693398195798352
272,-5.6861109845359525
273,-5.678878359125705
274,-5.6716997085319525
275,-5.664574430805068
276,-5.657501932913197
277,-5.650481630577724
278,-5.643512948112365
279,-5.636595318265799
280,-5.638802589002055
281,-5.657172862826139
